lvl_transition.second_played_lvl.mrbluesky,averagePressureRight.second_played_lvl,averagePressureLeft.second_played_lvl,averageTimeRight.second_played_lvl,averageTimeLeft.second_played_lvl,final_score.second_played_lvl.mrbluesky,stressLevel_delta.second_played_lvl.mrbluesky,heartRate_delta.second_played_lvl.mrbluesky,average_displacement1_mrbluesky.second_played_lvl,average_displacement2_mrbluesky.second_played_lvl,average_clockwise_mrbluesky.second_played_lvl,RSQ_mrbluesky_score,RSQ_mrbluesky_score_delta,min.averagePressureRight.second_played_lvl,min.averagePressureLeft.second_played_lvl,min.averageTimeRight.second_played_lvl,min.averageTimeLeft.second_played_lvl,min.final_score.second_played_lvl.mrbluesky,min.stressLevel_delta.second_played_lvl.mrbluesky,min.heartRate_delta.second_played_lvl.mrbluesky,min.average_displacement1_mrbluesky.second_played_lvl,min.average_displacement2_mrbluesky.second_played_lvl,min.average_clockwise_mrbluesky.second_played_lvl,min.RSQ_mrbluesky_score,min.RSQ_mrbluesky_score_delta,max.averagePressureRight.second_played_lvl,max.averagePressureLeft.second_played_lvl,max.averageTimeRight.second_played_lvl,max.averageTimeLeft.second_played_lvl,max.final_score.second_played_lvl.mrbluesky,max.stressLevel_delta.second_played_lvl.mrbluesky,max.heartRate_delta.second_played_lvl.mrbluesky,max.average_displacement1_mrbluesky.second_played_lvl,max.average_displacement2_mrbluesky.second_played_lvl,max.average_clockwise_mrbluesky.second_played_lvl,max.RSQ_mrbluesky_score,max.RSQ_mrbluesky_score_delta
_1,1.00,1.00,0.91,0.88,93.42,9.67,6.00,44.68,39.92,0.40,29.25,-3.42,1.00,1.00,0.00,-1.50,87.75,-10.00,-8.00,26.79,24.10,0.23,27.33,-9.33,1.00,1.00,1.22,1.20,134.67,12.25,6.50,65.00,55.00,0.70,50.00,5.00
_2,1.00,1.00,0.86,0.81,116.00,4.00,3.18,44.58,34.90,0.35,29.64,-3.64,1.00,1.00,0.00,-1.50,87.75,-10.00,-8.00,26.79,24.10,0.23,27.33,-9.33,1.00,1.00,1.22,1.20,134.67,12.25,6.50,65.00,55.00,0.70,50.00,5.00
_3,1.00,1.00,0.00,-1.50,115.33,-10.00,-8.00,65.00,55.00,0.46,31.11,5.00,1.00,1.00,0.00,-1.50,87.75,-10.00,-8.00,26.79,24.10,0.23,27.33,-9.33,1.00,1.00,1.22,1.20,134.67,12.25,6.50,65.00,55.00,0.70,50.00,5.00
11,1.00,1.00,0.73,0.79,94.25,12.25,0.00,60.98,48.86,0.23,30.75,-2.25,1.00,1.00,0.00,-1.50,87.75,-10.00,-8.00,26.79,24.10,0.23,27.33,-9.33,1.00,1.00,1.22,1.20,134.67,12.25,6.50,65.00,55.00,0.70,50.00,5.00
12,1.00,1.00,0.00,-1.50,98.25,-10.00,-8.00,65.00,55.00,0.70,27.25,5.00,1.00,1.00,0.00,-1.50,87.75,-10.00,-8.00,26.79,24.10,0.23,27.33,-9.33,1.00,1.00,1.22,1.20,134.67,12.25,6.50,65.00,55.00,0.70,50.00,5.00
13,1.00,1.00,1.22,1.20,87.75,-6.25,6.50,26.79,24.72,0.27,29.75,-1.50,1.00,1.00,0.00,-1.50,87.75,-10.00,-8.00,26.79,24.10,0.23,27.33,-9.33,1.00,1.00,1.22,1.20,134.67,12.25,6.50,65.00,55.00,0.70,50.00,5.00
21,1.00,1.00,0.00,-1.50,99.50,-10.00,-8.00,65.00,55.00,0.40,28.00,-6.25,1.00,1.00,0.00,-1.50,87.75,-10.00,-8.00,26.79,24.10,0.23,27.33,-9.33,1.00,1.00,1.22,1.20,134.67,12.25,6.50,65.00,55.00,0.70,50.00,5.00
22,1.00,1.00,1.03,1.02,131.50,2.25,4.25,32.60,29.12,0.38,33.00,3.25,1.00,1.00,0.00,-1.50,87.75,-10.00,-8.00,26.79,24.10,0.23,27.33,-9.33,1.00,1.00,1.22,1.20,134.67,12.25,6.50,65.00,55.00,0.70,50.00,5.00
23,1.00,1.00,0.85,0.82,117.33,11.67,2.33,40.45,25.14,0.27,27.33,-9.33,1.00,1.00,0.00,-1.50,87.75,-10.00,-8.00,26.79,24.10,0.23,27.33,-9.33,1.00,1.00,1.22,1.20,134.67,12.25,6.50,65.00,55.00,0.70,50.00,5.00
31,1.00,1.00,0.00,-1.50,93.00,-10.00,-8.00,65.00,55.00,0.37,32.00,5.00,1.00,1.00,0.00,-1.50,87.75,-10.00,-8.00,26.79,24.10,0.23,27.33,-9.33,1.00,1.00,1.22,1.20,134.67,12.25,6.50,65.00,55.00,0.70,50.00,5.00
32,1.00,1.00,0.38,0.46,118.33,11.00,2.67,30.85,26.17,0.59,29.33,-4.00,1.00,1.00,0.00,-1.50,87.75,-10.00,-8.00,26.79,24.10,0.23,27.33,-9.33,1.00,1.00,1.22,1.20,134.67,12.25,6.50,65.00,55.00,0.70,50.00,5.00
33,1.00,1.00,0.86,0.90,134.67,4.00,6.00,30.33,24.10,0.42,32.00,-1.00,1.00,1.00,0.00,-1.50,87.75,-10.00,-8.00,26.79,24.10,0.23,27.33,-9.33,1.00,1.00,1.22,1.20,134.67,12.25,6.50,65.00,55.00,0.70,50.00,5.00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

