lvl_transition.second_played_lvl.thekite,final_score.second_played_lvl.thekite,stressLevel_delta.second_played_lvl.thekite,heartRate_delta.second_played_lvl.thekite,RSQ_thekite_score,RSQ_thekite_score_delta,min.final_score.second_played_lvl.thekite,min.stressLevel_delta.second_played_lvl.thekite,min.heartRate_delta.second_played_lvl.thekite,min.RSQ_thekite_score,min.RSQ_thekite_score_delta,max.final_score.second_played_lvl.thekite,max.stressLevel_delta.second_played_lvl.thekite,max.heartRate_delta.second_played_lvl.thekite,max.RSQ_thekite_score,max.RSQ_thekite_score_delta
_1,4.5,-4.50,-0.75,33.25,0.38,-14.00,-20.00,26.50,-7.00,-14.00,20.50,11.50,7.50,39.00,13.50
_2,5.625,-7.38,-6.38,34.00,3.50,-14.00,-20.00,26.50,-7.00,-14.00,20.50,11.50,7.50,39.00,13.50
_3,1.875,1.25,-0.25,34.38,2.88,-14.00,-20.00,26.50,-7.00,-14.00,20.50,11.50,7.50,39.00,13.50
_4,4,-14.00,-20.00,31.50,13.50,-14.00,-20.00,26.50,-7.00,-14.00,20.50,11.50,7.50,39.00,13.50
11,17,-4.50,2.00,39.00,9.50,-14.00,-20.00,26.50,-7.00,-14.00,20.50,11.50,7.50,39.00,13.50
12,1,-14.00,-20.00,31.00,13.50,-14.00,-20.00,26.50,-7.00,-14.00,20.50,11.50,7.50,39.00,13.50
13,0,2.00,-0.50,36.50,-0.50,-14.00,-20.00,26.50,-7.00,-14.00,20.50,11.50,7.50,39.00,13.50
14,0,-11.00,-11.00,26.50,-2.50,-14.00,-20.00,26.50,-7.00,-14.00,20.50,11.50,7.50,39.00,13.50
21,20.5,-8.00,-17.00,37.50,10.50,-14.00,-20.00,26.50,-7.00,-14.00,20.50,11.50,7.50,39.00,13.50
22,0,-9.50,-2.50,35.50,2.50,-14.00,-20.00,26.50,-7.00,-14.00,20.50,11.50,7.50,39.00,13.50
23,0,-14.00,-20.00,28.00,13.50,-14.00,-20.00,26.50,-7.00,-14.00,20.50,11.50,7.50,39.00,13.50
24,2,-1.00,3.00,35.00,-0.50,-14.00,-20.00,26.50,-7.00,-14.00,20.50,11.50,7.50,39.00,13.50
31,2.5,-7.50,-9.50,30.00,2.00,-14.00,-20.00,26.50,-7.00,-14.00,20.50,11.50,7.50,39.00,13.50
32,3.5,7.50,2.50,34.50,2.00,-14.00,-20.00,26.50,-7.00,-14.00,20.50,11.50,7.50,39.00,13.50
33,0,-14.00,-20.00,35.00,13.50,-14.00,-20.00,26.50,-7.00,-14.00,20.50,11.50,7.50,39.00,13.50
34,1.5,0.00,-2.00,38.00,0.50,-14.00,-20.00,26.50,-7.00,-14.00,20.50,11.50,7.50,39.00,13.50
41,13,-14.00,-20.00,34.00,13.50,-14.00,-20.00,26.50,-7.00,-14.00,20.50,11.50,7.50,39.00,13.50
42,1,11.50,-1.50,28.00,-7.00,-14.00,-20.00,26.50,-7.00,-14.00,20.50,11.50,7.50,39.00,13.50
43,1.5,5.50,1.00,28.00,1.50,-14.00,-20.00,26.50,-7.00,-14.00,20.50,11.50,7.50,39.00,13.50
44,0.5,5.50,7.50,36.00,3.50,-14.00,-20.00,26.50,-7.00,-14.00,20.50,11.50,7.50,39.00,13.50
,,,,,,,,,,,,,,,

