lvl_transition.second_played_lvl.thekite,final_score.second_played_lvl.thekite,stressLevel_delta.second_played_lvl.thekite,heartRate_delta.second_played_lvl.thekite,RSQ_thekite_score,RSQ_thekite_score_delta,min.final_score.second_played_lvl.thekite,min.stressLevel_delta.second_played_lvl.thekite,min.heartRate_delta.second_played_lvl.thekite,min.RSQ_thekite_score,min.RSQ_thekite_score_delta,max.final_score.second_played_lvl.thekite,max.stressLevel_delta.second_played_lvl.thekite,max.heartRate_delta.second_played_lvl.thekite,max.RSQ_thekite_score,max.RSQ_thekite_score_delta
_1,4.5,-4.5,-0.75,33.25,0.375,0.0,-40.0,-40.0,26.5,-7.0,20.5,11.5,7.5,39.0,30.0
_2,5.625,-7.375,-6.375,34,3.5,0.0,-40.0,-40.0,26.5,-7.0,20.5,11.5,7.5,39.0,30.0
_3,1.875,1.25,-0.25,34.375,2.875,0.0,-40.0,-40.0,26.5,-7.0,20.5,11.5,7.5,39.0,30.0
_4,4,-40.00,-40.00,31.5,30.00,0.0,-40.0,-40.0,26.5,-7.0,20.5,11.5,7.5,39.0,30.0
11,17,-4.5,2,39,9.5,0.0,-40.0,-40.0,26.5,-7.0,20.5,11.5,7.5,39.0,30.0
12,1,-40.00,-40.00,31,30.00,0.0,-40.0,-40.0,26.5,-7.0,20.5,11.5,7.5,39.0,30.0
13,0,2,-0.5,36.5,-0.5,0.0,-40.0,-40.0,26.5,-7.0,20.5,11.5,7.5,39.0,30.0
14,0,-11,-11,26.5,-2.5,0.0,-40.0,-40.0,26.5,-7.0,20.5,11.5,7.5,39.0,30.0
21,20.5,-8,-17,37.5,10.5,0.0,-40.0,-40.0,26.5,-7.0,20.5,11.5,7.5,39.0,30.0
22,0,-9.5,-2.5,35.5,2.5,0.0,-40.0,-40.0,26.5,-7.0,20.5,11.5,7.5,39.0,30.0
23,0,-40.00,-40.00,28,30.00,0.0,-40.0,-40.0,26.5,-7.0,20.5,11.5,7.5,39.0,30.0
24,2,-1,3,35,-0.5,0.0,-40.0,-40.0,26.5,-7.0,20.5,11.5,7.5,39.0,30.0
31,2.5,-7.5,-9.5,30,2,0.0,-40.0,-40.0,26.5,-7.0,20.5,11.5,7.5,39.0,30.0
32,3.5,7.5,2.5,34.5,2,0.0,-40.0,-40.0,26.5,-7.0,20.5,11.5,7.5,39.0,30.0
33,0,-40.00,-40.00,35,30.00,0.0,-40.0,-40.0,26.5,-7.0,20.5,11.5,7.5,39.0,30.0
34,1.5,0,-2,38,0.5,0.0,-40.0,-40.0,26.5,-7.0,20.5,11.5,7.5,39.0,30.0
41,13,-40.00,-40.00,34,30.00,0.0,-40.0,-40.0,26.5,-7.0,20.5,11.5,7.5,39.0,30.0
42,1,11.5,-1.5,28,-7,0.0,-40.0,-40.0,26.5,-7.0,20.5,11.5,7.5,39.0,30.0
43,1.5,5.5,1,28,1.5,0.0,-40.0,-40.0,26.5,-7.0,20.5,11.5,7.5,39.0,30.0
44,0.5,5.5,7.5,36,3.5,0.0,-40.0,-40.0,26.5,-7.0,20.5,11.5,7.5,39.0,30.0

