lvl_transition.second_played_lvl.mrbluesky,averagePressureRight.second_played_lvl,averagePressureLeft.second_played_lvl,averageTimeRight.second_played_lvl,averageTimeLeft.second_played_lvl,final_score.second_played_lvl.mrbluesky,stressLevel_delta.second_played_lvl.mrbluesky,heartRate_delta.second_played_lvl.mrbluesky,average_displacement1_mrbluesky.second_played_lvl,average_displacement2_mrbluesky.second_played_lvl,average_clockwise_mrbluesky.second_played_lvl,RSQ_mrbluesky_score,RSQ_mrbluesky_score_delta,min.averagePressureRight.second_played_lvl,min.averagePressureLeft.second_played_lvl,min.averageTimeRight.second_played_lvl,min.averageTimeLeft.second_played_lvl,min.final_score.second_played_lvl.mrbluesky,min.stressLevel_delta.second_played_lvl.mrbluesky,min.heartRate_delta.second_played_lvl.mrbluesky,min.average_displacement1_mrbluesky.second_played_lvl,min.average_displacement2_mrbluesky.second_played_lvl,min.average_clockwise_mrbluesky.second_played_lvl,min.RSQ_mrbluesky_score,min.RSQ_mrbluesky_score_delta,max.averagePressureRight.second_played_lvl,max.averagePressureLeft.second_played_lvl,max.averageTimeRight.second_played_lvl,max.averageTimeLeft.second_played_lvl,max.final_score.second_played_lvl.mrbluesky,max.stressLevel_delta.second_played_lvl.mrbluesky,max.heartRate_delta.second_played_lvl.mrbluesky,max.average_displacement1_mrbluesky.second_played_lvl,max.average_displacement2_mrbluesky.second_played_lvl,max.average_clockwise_mrbluesky.second_played_lvl,max.RSQ_mrbluesky_score,max.RSQ_mrbluesky_score_delta
_1,1,1,1.0231048166666667,0.9112811833333333,88.33333333333333,9.833333333333334,3.3333333333333335,56.64622952477085,48.930553821274565,0.3571376184980673,31.333333333333332,-1.1666666666666667,1,1,0.4918925,0.5451355,38,-5,-3.5,4.031173913043478,5.1792369565217395,0.02040816326530612,27,-12,1,1,2.154846,1.349152,175,16,8,91.92415151515151,92.97342424242424,0.8787878787878788,35.5,6
_2,1,1,0.89456086,0.7797821,125,1,1.6,54.819787850839965,48.42439149409032,0.38777874533702933,32,-2.2,1,1,0.4918925,0.5451355,38,-5,-3.5,4.031173913043478,5.1792369565217395,0.02040816326530612,27,-12,1,1,2.154846,1.349152,175,16,8,91.92415151515151,92.97342424242424,0.8787878787878788,35.5,6
_3,1,1,0.8290862,0.8283684,102.8,4.6,5.8,42.11734498260605,43.51263740469932,0.32265736627438757,29.4,-4,1,1,0.4918925,0.5451355,38,-5,-3.5,4.031173913043478,5.1792369565217395,0.02040816326530612,27,-12,1,1,2.154846,1.349152,175,16,8,91.92415151515151,92.97342424242424,0.8787878787878788,35.5,6
11,1,1,0.734378475,0.7934646,94.25,12.25,2.5,60.98051293010753,48.85766543217535,0.22905293631100082,30.75,-2.25,1,1,0.4918925,0.5451355,38,-5,-3.5,4.031173913043478,5.1792369565217395,0.02040816326530612,27,-12,1,1,2.154846,1.349152,175,16,8,91.92415151515151,92.97342424242424,0.8787878787878788,35.5,6
12,1,1,1.046269,0.9446767,115,4,5,91.92415151515151,92.97342424242424,0.8787878787878788,35,-1,1,1,0.4918925,0.5451355,38,-5,-3.5,4.031173913043478,5.1792369565217395,0.02040816326530612,27,-12,1,1,2.154846,1.349152,175,16,8,91.92415151515151,92.97342424242424,0.8787878787878788,35.5,6
13,1,1,2.154846,1.349152,38,6,5,4.031173913043478,5.1792369565217395,0.34782608695652173,30,3,1,1,0.4918925,0.5451355,38,-5,-3.5,4.031173913043478,5.1792369565217395,0.02040816326530612,27,-12,1,1,2.154846,1.349152,175,16,8,91.92415151515151,92.97342424242424,0.8787878787878788,35.5,6
21,1,1,0.63168695,0.5451355,100,1.5,-3.5,83.30714260869566,69.50358782608696,0.4982608695652174,31,-6,1,1,0.4918925,0.5451355,38,-5,-3.5,4.031173913043478,5.1792369565217395,0.02040816326530612,27,-12,1,1,2.154846,1.349152,175,16,8,91.92415151515151,92.97342424242424,0.8787878787878788,35.5,6
22,1,1,1.0616582,0.8690322500000001,125,-5,4.5,26.49388824289406,32.37630927648579,0.46098191214470285,35.5,6,1,1,0.4918925,0.5451355,38,-5,-3.5,4.031173913043478,5.1792369565217395,0.02040816326530612,27,-12,1,1,2.154846,1.349152,175,16,8,91.92415151515151,92.97342424242424,0.8787878787878788,35.5,6
23,1,1,1.086114,1.070575,175,12,6,54.49687755102041,38.36216326530612,0.02040816326530612,27,-11,1,1,0.4918925,0.5451355,38,-5,-3.5,4.031173913043478,5.1792369565217395,0.02040816326530612,27,-12,1,1,2.154846,1.349152,175,16,8,91.92415151515151,92.97342424242424,0.8787878787878788,35.5,6
31,1,1,1.14804075,1.015457,89.5,-2.5,3.5,55.179257692307694,68.5675576923077,0.13461538461538464,31,-2,1,1,0.4918925,0.5451355,38,-5,-3.5,4.031173913043478,5.1792369565217395,0.02040816326530612,27,-12,1,1,2.154846,1.349152,175,16,8,91.92415151515151,92.97342424242424,0.8787878787878788,35.5,6
32,1,1,0.4918925,0.7049662,61,16,8,24.52278723404255,16.085317021276595,0.2765957446808511,28,-12,1,1,0.4918925,0.5451355,38,-5,-3.5,4.031173913043478,5.1792369565217395,0.02040816326530612,27,-12,1,1,2.154846,1.349152,175,16,8,91.92415151515151,92.97342424242424,0.8787878787878788,35.5,6
33,1,1,0.6787285000000001,0.7029809,137,6,7,37.85271114718614,32.17137730880231,0.5337301587301587,28.5,-2,1,1,0.4918925,0.5451355,38,-5,-3.5,4.031173913043478,5.1792369565217395,0.02040816326530612,27,-12,1,1,2.154846,1.349152,175,16,8,91.92415151515151,92.97342424242424,0.8787878787878788,35.5,6
