lvl_transition.second_played_lvl.mrbluesky,averagePressureRight.second_played_lvl,averagePressureLeft.second_played_lvl,averageTimeRight.second_played_lvl,averageTimeLeft.second_played_lvl,final_score.second_played_lvl.mrbluesky,stressLevel_delta.second_played_lvl.mrbluesky,heartRate_delta.second_played_lvl.mrbluesky,average_displacement1_mrbluesky.second_played_lvl,average_displacement2_mrbluesky.second_played_lvl,average_clockwise_mrbluesky.second_played_lvl,RSQ_mrbluesky_score,RSQ_mrbluesky_score_delta,min.averagePressureRight.second_played_lvl,min.averagePressureLeft.second_played_lvl,min.averageTimeRight.second_played_lvl,min.averageTimeLeft.second_played_lvl,min.final_score.second_played_lvl.mrbluesky,min.stressLevel_delta.second_played_lvl.mrbluesky,min.heartRate_delta.second_played_lvl.mrbluesky,min.average_displacement1_mrbluesky.second_played_lvl,min.average_displacement2_mrbluesky.second_played_lvl,min.average_clockwise_mrbluesky.second_played_lvl,min.RSQ_mrbluesky_score,min.RSQ_mrbluesky_score_delta,max.averagePressureRight.second_played_lvl,max.averagePressureLeft.second_played_lvl,max.averageTimeRight.second_played_lvl,max.averageTimeLeft.second_played_lvl,max.final_score.second_played_lvl.mrbluesky,max.stressLevel_delta.second_played_lvl.mrbluesky,max.heartRate_delta.second_played_lvl.mrbluesky,max.average_displacement1_mrbluesky.second_played_lvl,max.average_displacement2_mrbluesky.second_played_lvl,max.average_clockwise_mrbluesky.second_played_lvl,max.RSQ_mrbluesky_score,max.RSQ_mrbluesky_score_delta
_1,1,1,2.154846,2.001416,164,45,29,93.64454838709678,92.97342424242424,0.9428571428571428,41,4,1,1,0.4918925,0.7049662,100,3,6,54.49687755102041,38.36216326530612,0.34782608695652173,31,-6,1,1,2.154846,2.001416,175,45,29,102.71256521739132,92.97342424242424,0.967741935483871,43,6
_2,1,1,1.784848,1.629225,175,38,16,102.71256521739132,80.1856956521739,0.9565217391304348,43,6,1,1,0.4918925,0.7049662,100,3,6,54.49687755102041,38.36216326530612,0.34782608695652173,31,-6,1,1,2.154846,2.001416,175,45,29,102.71256521739132,92.97342424242424,0.967741935483871,43,6
_3,1,1,1.315016,1.284526,166,32,14,91.88092307692308,91.84084615384616,0.967741935483871,39,4,1,1,0.4918925,0.7049662,100,3,6,54.49687755102041,38.36216326530612,0.34782608695652173,31,-6,1,1,2.154846,2.001416,175,45,29,102.71256521739132,92.97342424242424,0.967741935483871,43,6
11,1,1,1.298401,1.516876,100,44,6,93.64454838709678,81.09570967741936,0.5666666666666667,34,4,1,1,0.4918925,0.7049662,100,3,6,54.49687755102041,38.36216326530612,0.34782608695652173,31,-6,1,1,2.154846,2.001416,175,45,29,102.71256521739132,92.97342424242424,0.967741935483871,43,6
12,1,1,1.046269,0.9446767,127,45,29,91.92415151515151,92.97342424242424,0.9428571428571428,35,-1,1,1,0.4918925,0.7049662,100,3,6,54.49687755102041,38.36216326530612,0.34782608695652173,31,-6,1,1,2.154846,2.001416,175,45,29,102.71256521739132,92.97342424242424,0.967741935483871,43,6
13,1,1,2.154846,2.001416,164,6,13,72.08618367346939,64.72381632653061,0.34782608695652173,41,3,1,1,0.4918925,0.7049662,100,3,6,54.49687755102041,38.36216326530612,0.34782608695652173,31,-6,1,1,2.154846,2.001416,175,45,29,102.71256521739132,92.97342424242424,0.967741935483871,43,6
21,1,1,0.8951693,0.8264771,100,38,16,102.71256521739132,80.1856956521739,0.9565217391304348,33,-4,1,1,0.4918925,0.7049662,100,3,6,54.49687755102041,38.36216326530612,0.34782608695652173,31,-6,1,1,2.154846,2.001416,175,45,29,102.71256521739132,92.97342424242424,0.967741935483871,43,6
22,1,1,1.784848,1.629225,148,24,8,77.3901794871795,42.61676744186047,0.7441860465116279,43,6,1,1,0.4918925,0.7049662,100,3,6,54.49687755102041,38.36216326530612,0.34782608695652173,31,-6,1,1,2.154846,2.001416,175,45,29,102.71256521739132,92.97342424242424,0.967741935483871,43,6
23,1,1,1.141927,1.070575,175,14,6,54.49687755102041,38.36216326530612,0.4696969696969697,31,-6,1,1,0.4918925,0.7049662,100,3,6,54.49687755102041,38.36216326530612,0.34782608695652173,31,-6,1,1,2.154846,2.001416,175,45,29,102.71256521739132,92.97342424242424,0.967741935483871,43,6
31,1,1,1.315016,1.112579,100,3,14,91.88092307692308,91.84084615384616,0.8260869565217391,35,2,1,1,0.4918925,0.7049662,100,3,6,54.49687755102041,38.36216326530612,0.34782608695652173,31,-6,1,1,2.154846,2.001416,175,45,29,102.71256521739132,92.97342424242424,0.967741935483871,43,6
32,1,1,0.4918925,0.7049662,150,32,8,61.04419354838709,60.78770967741936,0.967741935483871,31,4,1,1,0.4918925,0.7049662,100,3,6,54.49687755102041,38.36216326530612,0.34782608695652173,31,-6,1,1,2.154846,2.001416,175,45,29,102.71256521739132,92.97342424242424,0.967741935483871,43,6
33,1,1,1.226184,1.284526,166,13,9,60.961431818181815,59.793386363636365,0.75,39,1,1,1,0.4918925,0.7049662,100,3,6,54.49687755102041,38.36216326530612,0.34782608695652173,31,-6,1,1,2.154846,2.001416,175,45,29,102.71256521739132,92.97342424242424,0.967741935483871,43,6
