lvl_transition.second_played_lvl.mrbluesky,averagePressureRight.second_played_lvl,averagePressureLeft.second_played_lvl,averageTimeRight.second_played_lvl,averageTimeLeft.second_played_lvl,final_score.second_played_lvl.mrbluesky,stressLevel_delta.second_played_lvl.mrbluesky,heartRate_delta.second_played_lvl.mrbluesky,average_displacement1_mrbluesky.second_played_lvl,average_displacement2_mrbluesky.second_played_lvl,average_clockwise_mrbluesky.second_played_lvl,RSQ_mrbluesky_score,RSQ_mrbluesky_score_delta,min.averagePressureRight.second_played_lvl,min.averagePressureLeft.second_played_lvl,min.averageTimeRight.second_played_lvl,min.averageTimeLeft.second_played_lvl,min.final_score.second_played_lvl.mrbluesky,min.stressLevel_delta.second_played_lvl.mrbluesky,min.heartRate_delta.second_played_lvl.mrbluesky,min.average_displacement1_mrbluesky.second_played_lvl,min.average_displacement2_mrbluesky.second_played_lvl,min.average_clockwise_mrbluesky.second_played_lvl,min.RSQ_mrbluesky_score,min.RSQ_mrbluesky_score_delta,max.averagePressureRight.second_played_lvl,max.averagePressureLeft.second_played_lvl,max.averageTimeRight.second_played_lvl,max.averageTimeLeft.second_played_lvl,max.final_score.second_played_lvl.mrbluesky,max.stressLevel_delta.second_played_lvl.mrbluesky,max.heartRate_delta.second_played_lvl.mrbluesky,max.average_displacement1_mrbluesky.second_played_lvl,max.average_displacement2_mrbluesky.second_played_lvl,max.average_clockwise_mrbluesky.second_played_lvl,max.RSQ_mrbluesky_score,max.RSQ_mrbluesky_score_delta
_1,1,1,0.409163,0.4466553,17,-26,-12,4.031173913043478,1.7436197727272726,0.06666666666666667,20,-14,1,1,0.2435303,0.2350551,17,-41,-12,0.00746281875,0.7181890909090909,0.02040816326530612,20,-14,1,1,0.6000285,0.6744385,121,9,4,20.65717,37.37299565217391,0.38636363636363635,28,-2
_2,1,1,0.3189087,0.3210184,51,-41,-12,0.00746281875,0.7181890909090909,0.02040816326530612,21,-11,1,1,0.2435303,0.2350551,17,-41,-12,0.00746281875,0.7181890909090909,0.02040816326530612,20,-14,1,1,0.6000285,0.6744385,121,9,4,20.65717,37.37299565217391,0.38636363636363635,28,-2
_3,1,1,0.2435303,0.2350551,61,-15,-7,6.978960975609756,1.6237695121951221,0.07692307692307693,27,-12,1,1,0.2435303,0.2350551,17,-41,-12,0.00746281875,0.7181890909090909,0.02040816326530612,20,-14,1,1,0.6000285,0.6744385,121,9,4,20.65717,37.37299565217391,0.38636363636363635,28,-2
11,1,1,0.409163,0.4466553,86,-17,-5,20.65717,23.481265384615384,0.06666666666666667,25,-7,1,1,0.2435303,0.2350551,17,-41,-12,0.00746281875,0.7181890909090909,0.02040816326530612,20,-14,1,1,0.6000285,0.6744385,121,9,4,20.65717,37.37299565217391,0.38636363636363635,28,-2
12,1,1,0.4628296,0.4505709,73,4,-12,8.290109090909091,1.7436197727272726,0.38636363636363635,22,-14,1,1,0.2435303,0.2350551,17,-41,-12,0.00746281875,0.7181890909090909,0.02040816326530612,20,-14,1,1,0.6000285,0.6744385,121,9,4,20.65717,37.37299565217391,0.38636363636363635,28,-2
13,1,1,0.5725437,0.6744385,17,-26,2,4.031173913043478,5.1792369565217395,0.08163265306122448,20,-6,1,1,0.2435303,0.2350551,17,-41,-12,0.00746281875,0.7181890909090909,0.02040816326530612,20,-14,1,1,0.6000285,0.6744385,121,9,4,20.65717,37.37299565217391,0.38636363636363635,28,-2
21,1,1,0.4784781,0.3522339,98,-41,-12,3.478442424242424,0.7181890909090909,0.04,21,-8,1,1,0.2435303,0.2350551,17,-41,-12,0.00746281875,0.7181890909090909,0.02040816326530612,20,-14,1,1,0.6000285,0.6744385,121,9,4,20.65717,37.37299565217391,0.38636363636363635,28,-2
22,1,1,0.3384684,0.3323975,121,-9,1,0.00746281875,12.396637499999999,0.10256410256410256,28,-2,1,1,0.2435303,0.2350551,17,-41,-12,0.00746281875,0.7181890909090909,0.02040816326530612,20,-14,1,1,0.6000285,0.6744385,121,9,4,20.65717,37.37299565217391,0.38636363636363635,28,-2
23,1,1,0.3189087,0.3210184,51,9,-2,16.988142857142854,9.751325757575756,0.02040816326530612,24,-11,1,1,0.2435303,0.2350551,17,-41,-12,0.00746281875,0.7181890909090909,0.02040816326530612,20,-14,1,1,0.6000285,0.6744385,121,9,4,20.65717,37.37299565217391,0.38636363636363635,28,-2
31,1,1,0.6000285,0.4307861,81,-8,-7,18.47759230769231,37.37299565217391,0.07692307692307693,27,-6,1,1,0.2435303,0.2350551,17,-41,-12,0.00746281875,0.7181890909090909,0.02040816326530612,20,-14,1,1,0.6000285,0.6744385,121,9,4,20.65717,37.37299565217391,0.38636363636363635,28,-2
32,1,1,0.2435303,0.2350551,61,-15,-7,6.978960975609756,1.6237695121951221,0.2765957446808511,28,-12,1,1,0.2435303,0.2350551,17,-41,-12,0.00746281875,0.7181890909090909,0.02040816326530612,20,-14,1,1,0.6000285,0.6744385,121,9,4,20.65717,37.37299565217391,0.38636363636363635,28,-2
33,1,1,0.5370009,0.5926819,108,-1,4,14.743990476190476,4.549368253968255,0.2,28,-5,1,1,0.2435303,0.2350551,17,-41,-12,0.00746281875,0.7181890909090909,0.02040816326530612,20,-14,1,1,0.6000285,0.6744385,121,9,4,20.65717,37.37299565217391,0.38636363636363635,28,-2
