lvl_transition.second_played_lvl.thekite,final_score.second_played_lvl.thekite,stressLevel_delta.second_played_lvl.thekite,heartRate_delta.second_played_lvl.thekite,RSQ_thekite_score,RSQ_thekite_score_delta,min.final_score.second_played_lvl.thekite,min.stressLevel_delta.second_played_lvl.thekite,min.heartRate_delta.second_played_lvl.thekite,min.RSQ_thekite_score,min.RSQ_thekite_score_delta,max.final_score.second_played_lvl.thekite,max.stressLevel_delta.second_played_lvl.thekite,max.heartRate_delta.second_played_lvl.thekite,max.RSQ_thekite_score,max.RSQ_thekite_score_delta
_1,4.5,-4.5,-0.75,33.25,0.375,0,-11,-17,26.5,-7,20.5,11.5,8,39,10.5
_2,5.625,-7.375,-6.375,34,3.5,0,-11,-17,26.5,-7,20.5,11.5,8,39,10.5
_3,1.875,1.25,-0.25,34.375,2.875,0,-11,-17,26.5,-7,20.5,11.5,8,39,10.5
_4,4,5,0.75,31.5,0.375,0,-11,-17,26.5,-7,20.5,11.5,8,39,10.5
11,17,-4.5,2,39,9.5,0,-11,-17,26.5,-7,20.5,11.5,8,39,10.5
12,1,-4.5,6.5,31,-5,0,-11,-17,26.5,-7,20.5,11.5,8,39,10.5
13,0,2,-0.5,36.5,-0.5,0,-11,-17,26.5,-7,20.5,11.5,8,39,10.5
14,0,-11,-11,26.5,-2.5,0,-11,-17,26.5,-7,20.5,11.5,8,39,10.5
21,20.5,-8,-17,37.5,10.5,0,-11,-17,26.5,-7,20.5,11.5,8,39,10.5
22,0,-9.5,-2.5,35.5,2.5,0,-11,-17,26.5,-7,20.5,11.5,8,39,10.5
23,0,-11,-9,28,1.5,0,-11,-17,26.5,-7,20.5,11.5,8,39,10.5
24,2,-1,3,35,-0.5,0,-11,-17,26.5,-7,20.5,11.5,8,39,10.5
31,2.5,-7.5,-9.5,30,2,0,-11,-17,26.5,-7,20.5,11.5,8,39,10.5
32,3.5,7.5,2.5,34.5,2,0,-11,-17,26.5,-7,20.5,11.5,8,39,10.5
33,0,5,8,35,7,0,-11,-17,26.5,-7,20.5,11.5,8,39,10.5
34,1.5,0,-2,38,0.5,0,-11,-17,26.5,-7,20.5,11.5,8,39,10.5
41,13,-2.5,-4,34,3.5,0,-11,-17,26.5,-7,20.5,11.5,8,39,10.5
42,1,11.5,-1.5,28,-7,0,-11,-17,26.5,-7,20.5,11.5,8,39,10.5
43,1.5,5.5,1,28,1.5,0,-11,-17,26.5,-7,20.5,11.5,8,39,10.5
44,0.5,5.5,7.5,36,3.5,0,-11,-17,26.5,-7,20.5,11.5,8,39,10.5
