lvl_transition.second_played_lvl.thekite,final_score.second_played_lvl.thekite,stressLevel_delta.second_played_lvl.thekite,heartRate_delta.second_played_lvl.thekite,RSQ_thekite_score,RSQ_thekite_score_delta,min.final_score.second_played_lvl.thekite,min.stressLevel_delta.second_played_lvl.thekite,min.heartRate_delta.second_played_lvl.thekite,min.RSQ_thekite_score,min.RSQ_thekite_score_delta,max.final_score.second_played_lvl.thekite,max.stressLevel_delta.second_played_lvl.thekite,max.heartRate_delta.second_played_lvl.thekite,max.RSQ_thekite_score,max.RSQ_thekite_score_delta
_1,29,11,11,41,11,0,-7,-14,28,-5,29,26,15,41,12
_2,24,9,4,39,12,0,-7,-14,28,-5,29,26,15,41,12
_3,7,26,15,39,8,0,-7,-14,28,-5,29,26,15,41,12
_4,15,22,13,37,9,0,-7,-14,28,-5,29,26,15,41,12
11,29,0,4,41,11,0,-7,-14,28,-5,29,26,15,41,12
12,2,11,11,35,-3,0,-7,-14,28,-5,29,26,15,41,12
13,0,3,4,38,0,0,-7,-14,28,-5,29,26,15,41,12
14,0,1,-11,28,-1,0,-7,-14,28,-5,29,26,15,41,12
21,24,-7,-14,39,12,0,-7,-14,28,-5,29,26,15,41,12
22,0,-6,4,36,3,0,-7,-14,28,-5,29,26,15,41,12
23,0,9,4,33,5,0,-7,-14,28,-5,29,26,15,41,12
24,4,-1,4,37,1,0,-7,-14,28,-5,29,26,15,41,12
31,3,9,2,32,4,0,-7,-14,28,-5,29,26,15,41,12
32,7,16,8,39,3,0,-7,-14,28,-5,29,26,15,41,12
33,0,26,15,36,8,0,-7,-14,28,-5,29,26,15,41,12
34,3,0,3,39,2,0,-7,-14,28,-5,29,26,15,41,12
41,15,14,13,36,5,0,-7,-14,28,-5,29,26,15,41,12
42,2,22,0,28,-5,0,-7,-14,28,-5,29,26,15,41,12
43,3,9,4,29,9,0,-7,-14,28,-5,29,26,15,41,12
44,1,15,10,37,5,0,-7,-14,28,-5,29,26,15,41,12
