lvl_transition.second_played_lvl.thekite,final_score.second_played_lvl.thekite,stressLevel_delta.second_played_lvl.thekite,heartRate_delta.second_played_lvl.thekite,RSQ_thekite_score,RSQ_thekite_score_delta,min.final_score.second_played_lvl.thekite,min.stressLevel_delta.second_played_lvl.thekite,min.heartRate_delta.second_played_lvl.thekite,min.RSQ_thekite_score,min.RSQ_thekite_score_delta,max.final_score.second_played_lvl.thekite,max.stressLevel_delta.second_played_lvl.thekite,max.heartRate_delta.second_played_lvl.thekite,max.RSQ_thekite_score,max.RSQ_thekite_score_delta
_1,0,-23,-11,25,-7,0,-31,-22,23,-9,17,2,5,37,9
_2,0,-31,-22,23,-2,0,-31,-22,23,-9,17,2,5,37,9
_3,0,-24,-21,28,-1,0,-31,-22,23,-9,17,2,5,37,9
_4,0,-19,-21,27,-9,0,-31,-22,23,-9,17,2,5,37,9
11,5,-9,0,37,8,0,-31,-22,23,-9,17,2,5,37,9
12,0,-20,2,27,-7,0,-31,-22,23,-9,17,2,5,37,9
13,0,1,-5,35,-1,0,-31,-22,23,-9,17,2,5,37,9
14,0,-23,-11,25,-4,0,-31,-22,23,-9,17,2,5,37,9
21,17,-9,-20,36,9,0,-31,-22,23,-9,17,2,5,37,9
22,0,-13,-9,35,2,0,-31,-22,23,-9,17,2,5,37,9
23,0,-31,-22,23,-2,0,-31,-22,23,-9,17,2,5,37,9
24,0,-1,2,33,-2,0,-31,-22,23,-9,17,2,5,37,9
31,2,-24,-21,28,0,0,-31,-22,23,-9,17,2,5,37,9
32,0,-1,-3,30,1,0,-31,-22,23,-9,17,2,5,37,9
33,0,-16,1,34,6,0,-31,-22,23,-9,17,2,5,37,9
34,0,0,-7,37,-1,0,-31,-22,23,-9,17,2,5,37,9
41,11,-19,-21,32,2,0,-31,-22,23,-9,17,2,5,37,9
42,0,1,-3,28,-9,0,-31,-22,23,-9,17,2,5,37,9
43,0,2,-2,27,-6,0,-31,-22,23,-9,17,2,5,37,9
44,0,-4,5,35,2,0,-31,-22,23,-9,17,2,5,37,9
